RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
147,David NwabaHOU,SF,30,22.6,9.2,3.5,7.3,48.6,0.6,2.1,27.0,1.6,2.3,69.1,3.9,1.0,1.0,0.7,0.6,1,0,14.61
148,Nickeil Alexander-WalkerNO,SG,35,18.8,9.2,3.5,8.3,41.9,1.3,4.1,32.4,0.9,1.2,80.5,2.8,1.9,1.0,0.4,1.3,0,0,12.89
149,Danny GreenPHI,SF,44,28.6,9.2,3.2,8.0,40.3,2.4,6.2,39.0,0.3,0.5,65.0,3.6,1.7,1.4,0.8,1.2,1,0,10.89
150,Josh HartNO,SG,43,28.3,9.1,3.2,7.3,44.6,1.3,4.0,32.8,1.3,1.8,75.3,7.6,2.2,0.9,0.2,0.9,5,0,12.61
151,Isaiah RobyOKC,C,37,22.7,9.0,3.5,6.5,53.1,0.6,1.6,34.4,1.5,2.0,74.7,5.5,1.7,0.8,0.6,1.6,2,0,14.38
152,Ricky RubioMIN,PG,41,26.3,8.8,2.9,7.1,40.8,0.8,2.6,31.8,2.1,2.6,83.8,3.2,6.8,1.3,0.0,2.0,4,0,13.71
153,JaMychal GreenDEN,PF,31,19.7,8.7,3.1,6.9,45.3,1.5,3.7,42.1,0.9,1.1,85.3,5.5,0.8,0.5,0.3,1.0,1,0,14.43
154,JJ RedickNO,SG,31,18.6,8.7,2.8,6.9,40.7,1.6,4.5,36.4,1.5,1.5,95.7,1.7,1.3,0.3,0.1,0.8,0,0,11.24
155,Reggie JacksonLAC,PG,41,20.5,8.7,3.2,7.3,44.6,1.3,3.4,39.9,0.8,1.1,75.6,2.6,2.8,0.6,0.1,1.0,0,0,13.14
156,Nicolas BatumLAC,PF,41,28.6,8.6,3.0,6.3,46.9,1.8,4.3,42.9,0.9,1.0,85.4,4.7,2.3,1.2,0.3,0.7,1,0,13.30
157,Robert CovingtonPOR,PF,41,32.3,8.6,3.0,7.5,39.8,2.0,5.3,37.2,0.6,0.8,80.6,6.7,1.7,1.6,1.2,1.2,4,0,11.07
158,Ivica ZubacLAC,C,44,20.5,8.5,3.3,5.0,66.5,0.0,0.0,0.0,1.9,2.3,82.4,7.0,1.1,0.4,0.8,1.0,8,0,20.47
159,Garrett TempleCHI,SF,35,27.9,8.5,3.1,7.4,42.5,1.3,3.8,34.3,0.9,1.1,81.6,3.1,2.0,0.9,0.5,1.0,0,0,9.16
